png_path,webp_path,width,height,png_bytes,webp_bytes,saved_bytes,saving_percent,pixel_sha256,batch
assets/textures/textures_webapp/pokemon/articuno/main-shiny.png,assets/textures/textures_webapp/pokemon/articuno/main-shiny.webp,475,475,154244,82090,72154,46.7791,dc548d4acb2862f6dd17e9fd90ba066eb0b1a46de038da19b86e18c06b834b11,batch-3
assets/textures/textures_webapp/pokemon/audino/main-shiny.png,assets/textures/textures_webapp/pokemon/audino/main-shiny.webp,475,475,152400,81444,70956,46.5591,9b4dadc1b2b00d4ee3f1a40df3d7cd2e5a873a24017f40ffb8032401eb8616d4,batch-3
assets/textures/textures_webapp/pokemon/aurorus/main-shiny.png,assets/textures/textures_webapp/pokemon/aurorus/main-shiny.webp,475,475,139518,74256,65262,46.7768,5b98f2d02e50e2f3297dcefb6f005783beb16caa6f68689994117deafafaad54,batch-3
assets/textures/textures_webapp/pokemon/avalugg-hisui/main-shiny.png,assets/textures/textures_webapp/pokemon/avalugg-hisui/main-shiny.webp,475,475,198324,129712,68612,34.5959,5e396bca1c32b2df5a48e721212bc3a4564196205c9e8df1823de10895df85f5,batch-3
assets/textures/textures_webapp/pokemon/avalugg/main-shiny.png,assets/textures/textures_webapp/pokemon/avalugg/main-shiny.webp,475,475,191542,115146,76396,39.8847,f41605074971bd86dc9d4406470583da0b575c3a528ffbc60890ee73e774511b,batch-2
assets/textures/textures_webapp/pokemon/azurill/main-shiny.png,assets/textures/textures_webapp/pokemon/azurill/main-shiny.webp,475,475,130628,64620,66008,50.5313,07bdb915a78b2bd93c4754e3fb3efc68c81dbf3bf16d27dd3d8aad76d921ac92,batch-3
assets/textures/textures_webapp/pokemon/baltoy/main-shiny.png,assets/textures/textures_webapp/pokemon/baltoy/main-shiny.webp,475,475,162644,86802,75842,46.6307,075270c7aedf08cfef95d1cf5a40fef469216152ec1dfa311493c04598784e76,batch-3
assets/textures/textures_webapp/pokemon/basculin-blue-striped/main-shiny.png,assets/textures/textures_webapp/pokemon/basculin-blue-striped/main-shiny.webp,475,475,157170,85426,71744,45.6474,f46d504cdd07464e7740a57c006f9e7a82cef471ef5fcfe6815f0d375decffb4,batch-3
assets/textures/textures_webapp/pokemon/basculin-white-striped/main-shiny.png,assets/textures/textures_webapp/pokemon/basculin-white-striped/main-shiny.webp,475,475,175037,109304,65733,37.5538,f4f42701432e829db239b5f8aeab1bd8a44bd84f6bc581973c6a44374eccdd3c,batch-3
assets/textures/textures_webapp/pokemon/bastiodon/main-shiny.png,assets/textures/textures_webapp/pokemon/bastiodon/main-shiny.webp,475,475,173082,108836,64246,37.1188,8a92f3a4de5bab9da7e9378135c4bd6c262c5a40d19c33a697fcb8603df86bf2,batch-3
